IDENT_INTRT;IDENT_INFRA;DAT_INFRA_COMMI;COD_TYP_DEFDR;COD_MUNI_LIEU;TYP_DOCUM_INTRT;CODE_LOI_REGLEMENT;NO_ARTCL_L_R;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;DESC_TYP_VEH_INFRA;DESCN_CAT_INFRA;MASSE_PERMS;MASSE_CNSTA;VITSS_PERMS;VITSS_CNSTA;ADM_ORIG_VEH
DI99991239M300;IN99997HUF0100;2022-04-27;C;71105;RIG;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;;;;Québec
DI99992448M300;IN9999UDOG0100;2022-04-06;T;57045;RIG;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge totale;42000;44430;;;Québec
DI99994RTRH300;IN9999803AW000;2019-09-10;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN9999RJ3AW000;2019-09-11;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN9999WO3AW000;2019-09-13;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN99991T3AW000;2019-09-17;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN99993V3AW000;2019-09-18;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN99995X3AW000;2019-09-19;C;66047;RIGE;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN9999A04AW000;2019-09-27;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN9999C24AW000;2019-09-28;C;66047;RIGE;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN99999V6AW000;2019-10-11;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN9999H17AW000;2019-10-12;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN9999WG7AW000;2019-10-01;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN9999M48AW000;2019-09-28;T;66047;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI99994RTRH300;IN9999TD7AW000;2019-10-16;C;66047;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN99990R95X000;2020-03-04;C;75017;RIGE;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN99995W95X000;2020-03-04;T;75017;RIGE;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN999991P6X000;2020-03-18;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999VNP6X000;2020-03-19;C;75017;RIGE;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN9999XPP6X000;2020-03-19;T;75017;RIGE;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN9999WCV6X000;2020-03-18;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999U8W6X000;2020-03-21;T;75017;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999RE87X000;2020-04-25;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN99992P87X000;2020-04-25;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999MBP7X000;2020-05-01;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999TIP7X000;2020-05-06;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999WLP7X000;2020-05-08;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999XMP7X000;2020-05-14;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN99991QP7X000;2020-05-16;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN99999YP7X000;2020-04-26;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999D0Q7X000;2020-04-30;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999E1Q7X000;2020-05-02;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999F2Q7X000;2020-05-05;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999G3Q7X000;2020-05-07;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999I5Q7X000;2020-05-13;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999J6Q7X000;2020-05-15;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999K7Q7X000;2020-05-17;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999REQ7X000;2020-05-01;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999ZMQ7X000;2020-05-04;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN99997U87X000;2020-04-29;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999EC18X000;2020-05-16;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999US18X000;2020-04-26;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999VT18X000;2020-04-30;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999XV18X000;2020-05-02;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999GC28X000;2020-05-05;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999KG28X000;2020-05-07;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999MI28X000;2020-05-13;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999UQ28X000;2020-05-15;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999VR28X000;2020-05-17;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999QFP7X000;2020-05-04;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999NVW8X000;2020-03-27;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999FLX8X000;2020-03-27;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN99992R49X000;2020-03-15;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999HNX8X000;2020-03-15;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN99996V49X000;2020-03-22;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999G359X000;2020-03-22;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999K379X000;2020-03-14;T;75017;RIGE;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN9999N679X000;2020-03-15;T;75017;RIGE;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN9999RA79X000;2020-03-16;T;75017;RIGE;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN9999CPA9X000;2020-03-19;T;75017;RIGE;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN9999KXA9X000;2020-03-20;T;75017;RIGE;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;;;;Québec
DI9999K1URI300;IN9999T4B9X000;2020-03-20;C;75017;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999JUB9X000;2020-03-20;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999LWB9X000;2020-03-21;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999MXB9X000;2020-03-22;T;75017;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999T2C9X000;2020-03-24;T;75017;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999K1URI300;IN9999IPD9X000;2020-03-12;T;75017;RIGE;c.C-24.2;519.20;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999GJ5BJ300;IN99999P4OX000;2020-10-08;T;75017;RIGE;c.C-24.2;519.20;PR;VL;Véhicule lourd;Autres;;;;;Québec
DI9999KXA3K300;IN9999ZEJDY000;2021-01-22;T;94068;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999G8MEK300;IN9999LJ8QY000;2021-04-16;T;65005;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999G8MEK300;IN9999YU9QY000;2021-04-16;T;65005;RIGE;c.C-24.2;519.17;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999G8MEK300;IN9999KACQY000;2021-04-16;T;65005;RIGE;c.C-24.2;519.15;PR;VL;Véhicule lourd;Vérification mécanique;;;;;Québec
DI9999G8MEK300;IN9999PDDQY000;2021-02-24;T;71050;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999G8MEK300;IN9999O8FQY000;2021-02-24;C;71050;RIGE;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;;;;Québec
DI9999KXA3K300;IN9999Q7IDY000;2021-01-28;T;94068;RIGE;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;;;;Québec
