Nom_Intersection,Date,Description_Code_Banque,Amount,Longitude,Latitude
1 ere Avenue / Masson,2023-09-06,Autos,3373,-73.576559,45.545308
1 ere Avenue / Masson,2023-09-06,Bus,63,-73.576559,45.545308
1 ere Avenue / Masson,2023-09-06,Camions articules,4,-73.576559,45.545308
1 ere Avenue / Masson,2023-09-06,Camions porteurs,101,-73.576559,45.545308
1 ere Avenue / Masson,2023-09-06,Pietons,2433,-73.576559,45.545308
1 ere Avenue / Masson,2023-09-06,Velos,1561,-73.576559,45.545308
13 e Avenue / Bélanger,2024-04-10,Autos,4647,-73.592777,45.55869
13 e Avenue / Bélanger,2024-04-10,Bus,41,-73.592777,45.55869
13 e Avenue / Bélanger,2024-04-10,Camions articules,3,-73.592777,45.55869
13 e Avenue / Bélanger,2024-04-10,Camions porteurs,62,-73.592777,45.55869
13 e Avenue / Bélanger,2024-04-10,Pietons,1079,-73.592777,45.55869
13 e Avenue / Bélanger,2024-04-10,Velos,122,-73.592777,45.55869
15 e Avenue / Rosemont,2024-04-03,Autos,7681,-73.57806,45.555912
15 e Avenue / Rosemont,2024-04-03,Bus,137,-73.57806,45.555912
15 e Avenue / Rosemont,2024-04-03,Camions articules,5,-73.57806,45.555912
15 e Avenue / Rosemont,2024-04-03,Camions porteurs,114,-73.57806,45.555912
15 e Avenue / Rosemont,2024-04-03,Pietons,730,-73.57806,45.555912
15 e Avenue / Rosemont,2024-04-03,Velos,75,-73.57806,45.555912
16 e Avenue / Beaubien,2022-11-30,Autos,4515,-73.583335,45.558405
16 e Avenue / Beaubien,2022-11-30,Bus,159,-73.583335,45.558405
16 e Avenue / Beaubien,2022-11-30,Camions Lourds,58,-73.583335,45.558405
16 e Avenue / Beaubien,2022-11-30,Pietons,1896,-73.583335,45.558405
16 e Avenue / Beaubien,2022-11-30,Velos,80,-73.583335,45.558405
16 e Avenue / Bellechasse,2022-11-30,Autos,2009,-73.579595,45.557256
16 e Avenue / Bellechasse,2022-11-30,Bus,15,-73.579595,45.557256
16 e Avenue / Bellechasse,2022-11-30,Camions Lourds,13,-73.579595,45.557256
16 e Avenue / Bellechasse,2022-11-30,Pietons,665,-73.579595,45.557256
16 e Avenue / Bellechasse,2022-11-30,Velos,312,-73.579595,45.557256
16 e Avenue / Bélanger,2024-04-10,Autos,4546,-73.590987,45.560753
16 e Avenue / Bélanger,2024-04-10,Bus,46,-73.590987,45.560753
16 e Avenue / Bélanger,2024-04-10,Camions articules,3,-73.590987,45.560753
16 e Avenue / Bélanger,2024-04-10,Camions porteurs,64,-73.590987,45.560753
16 e Avenue / Bélanger,2024-04-10,Pietons,1258,-73.590987,45.560753
16 e Avenue / Bélanger,2024-04-10,Velos,166,-73.590987,45.560753
16 e Avenue / Masson,2023-09-06,Autos,2344,-73.57117,45.554611
16 e Avenue / Masson,2023-09-06,Bus,53,-73.57117,45.554611
16 e Avenue / Masson,2023-09-06,Camions articules,4,-73.57117,45.554611
16 e Avenue / Masson,2023-09-06,Camions porteurs,48,-73.57117,45.554611
16 e Avenue / Masson,2023-09-06,Pietons,1210,-73.57117,45.554611
16 e Avenue / Masson,2023-09-06,Velos,761,-73.57117,45.554611
16 e Avenue / Rosemont,2024-04-03,Autos,7672,-73.577486,45.556582
